common_name,latin_name,cat_safe
Adam-and-Eve,Arum maculatum,false
African Wonder Tree,Ricinus communis,false
Alocasia,Alocasia spp.,false
Aloe,Aloe vera,false
Amaryllis,Amaryllis spp.,false
Ambrosia Mexicana,Chenopodium botrys,false
American Bittersweet,Celastrus scandens,false
American Holly,Ilex opaca,false
American Mandrake,Podophyllum peltatum,false
American Yew,Taxus canadensus,false
Andromeda Japonica,Pieris japonica,false
Angelica Tree,Aralia spinosa,false
Apple,Malus sylvestrus,false
Apricot,Prunus armeniaca,false
Arrow-Head Vine,Syngonium podophyllum,false
Arum,Arum maculatum,false
Arum Lily,Zantedeschia aethiopica,false
Asian Lily,Lilium asiatica,false
Asparagus Fern,Asparagus densiflorus cv sprengeri,false
Australian Ivy Palm,Brassaia actinophylla,false
Autumn Crocus,Colchicum autumnale,false
Azalea,Rhododendron spp,false
Baby Doll Ti Plant,Cordyline terminalis,false
Barbados Aloe,Aloe barbadensis,false
Barbados Lily,Hippeastrum spp.,false
Barbados Pride,Caesalpinia pulcherrima,false
Barbados Pride 2,Poinciana gilliesii,false
Bay Laurel,Laurus nobilis,false
Bead Tree,Melia azedarach,false
Begonia,Begonia spp.,false
Bergamot Orange,Citrus Aurantium,false
Bird of Paradise,Caesalpinia gilliesii,false
Bird of Paradise 2,Poinciana gilliesii,false
Bird of Paradise Flower,Strelitzia reginae,false
Bird's Tongue Flower,Strelitzia reginae,false
Bishop’s Weed,Ammi majus,false
Bitter Root,Apocynum androsaemifolium,false
Black Calla,Arum palestinum,false
Black Cherry,Prunus serotina,false
Black Laurel,Leucothoe spp.,false
Black Nightshade,Solanum nigrum,false
Bobbins,Arum maculatum,false
Bog Laurel,Kalmia poliifolia,false
Borage,Borage officinalis,false
Boxwood,Buxus spp.,false
Branching Ivy,Hedera helix,false
Brazilwood,Poinciana gilliesii,false
Bread and Butter Plant,Coleus ampoinicus,false
Brunfelsia,Brunfelsia species,false
Buckeye,Aesculus spp,false
Buckwheat,Fagopyrum spp.,false
Buddhist Pine,Podocarpus macrophylla,false
Burning Bush,Euonymus atropurpurea,false
Buttercup,Ranunculus spp.,false
Butterfly Iris,Iris spuria,false
Caladium,Caladium hortulanum,false
Calamondin Orange,Citrus mitis,false
California Ivy,Hedera helix,false
Calla Lily,Zantedeschia aethiopica,false
Cape Jasmine,Gardenia jasminoides,false
Caraway,Carum carvi,false
Cardboard Cycad,Zamia furfuracea,false
Cardboard Palm,Zamia spp.,false
Cardinal Flower,Lobelia cardinalis,false
Carnation,Dianthus caryophyllus,false
Castor Bean Plant,Ricinus communis,false
Catnip,Nepeta cataria,false
Ceriman,Monstera deliciosa,false
Chamomile,Anthemis nobilis,false
Chandelier Plant,Kalanchoe tubiflora,false
Charming Dieffenbachia,Dieffenbachia amoena,false
Cherry,Prunus spp.,false
Chinaberry Tree,Melia azedarach,false
Chinese Evergreen,Aglaonema modestum,false
Chinese Jade,Crassula arborescens,false
Chives,Allium schoenoprasum,false
Choke Cherry,Prunus virginiana,false
Christmas Rose,Helleborus niger,false
Chrysanthemum,Chrysanthemum spp.,false
Clematis,Clematis spp.,false
Climbing Bittersweet,Celastrus scandens,false
Climbing Lily,Gloriosa superba,false
Climbing Nightshade,Solanum dulcamara,false
Clivia Lily,Clivia spp.,false
Clusia Rosea,Clusia major,false
Coffee Tree,Polyscias guilfoylei,false
Coleus,Coleus ampoinicus,false
Common Privet,Ligustrum vulgare,false
Coontie Palm,Zamia pumila,false
Cordatum,Philodendron oxycardium,false
Corn Plant,Dracaena fragrans,false
Cornstalk Plant,Dracaena fragrans,false
Cow parsnip,Heracleum maximum,false
Cowbane,Cicuta species,false
Cuckoo-pint,Arum maculatum,false
Cutleaf Philodendron,Monstera deliciosa,false
Cycads,Cycas and Zamia species,false
Cyclamen,Cyclamen spp,false
Daffodil,Narcissus spp,false
Dahlia,Dahlia species,false
Daisy,Chrysanthemum species,false
Day Lilies,Hemerocallis spp.,false
Deadly Nightshade,Solanum spp,false
Desert Azalea,Adenium obesum,false
Desert Rose,Adenium obesum,false
Devil's Backbone,Kalanchoe tubiflora,false
Devils Ivy,Epipremnum aureum,false
Dieffenbachia,Dieffenbachia,false
Dock,Rumex sp.,false
Dog Daisy,Achillea millefolium,false
Dog Hobble,Leucothoe sp.,false
Dogbane Hemp,Apocynum spp.,false
Dracaena,Dracaena spp.,false
Dumbcane,Dieffenbachia,false
Dwarf Poinciana,Caesalpinia pulcherrima,false
Easter Lily,Lilium longiflorum,false
Easter Rose,Helleborus niger,false
Eastern Star,Dianthus spp.,false
Elephant Ears,Colocasia esculenta,false
Elephant Ears,Caladium hortulanum,false
Elephant-Ear Begonia,Begonia scharfii,false
Emerald Feather,Asparagus densiflorus,false
English Holly,Ilex aquifolium,false
English Ivy,Hedera helix,false
English Yew,Taxus baccata,false
Epazote,Chenopodium ambrosioides,false
Eucalyptus,Eucalyptus species,false
European Bittersweet,Solanum dulcamara,false
European Holly,Ilex aquifolium,false
Everlasting Pea,Lathyrus latifolius,false
Exotica,Dieffenbachia amoena,false
False Bittersweet,Celastrus scandens,false
False Queen Anne’s Lace,Ammi majus,false
Feather Geranium,Ambrosia mexicana,false
Fern Palm,Zamia spp.,false
Fetter Bush,Leucothoe spp.,false
Fetterbush,Lyonia spp.,false
Fiddle-Leaf,Philodendron bipennifolium,false
Fig,Ficus benjamina,false
Figwort,Ranunculus acris,false
Fire Lily,Hippeastrum spp.,false
Flag,Iris species,false
Flamingo Flower,Anthurium scherzeranum,false
Fleabane,Erigeron speciosus,false
Florida Beauty,Dracaena surculosa,false
Florist's Calla,Zantedeschia aethiopica,false
Foxglove,Digitalis purpurea,false
Franciscan Rain Tree,Brunfelsia species,false
Garden Calla,Zantedeschia aethiopica,false
Garden Chamomile,Anthemis nobilis,false
Garden Hyacinth,Hyacinthus orientalis,false
Gardenia,Gardenia jasminoides,false
Garlic,Allium sativum,false
Geranium,Pelargonium species,false
Geranium-Leaf Aralia,Polyscias guilfoylei,false
Giant Dracaena,Cordyline australis,false
Giant Dumb Cane,Dieffenbachia amoena,false
Giant Hogweed,Heracleum maximum,false
Glacier Ivy,Hedera helix,false
Gladiola,Gladiolus species,false
Gloriosa Lily,Gloriosa superba,false
Gold Dieffenbachia,Dieffenbachia picta,false
Gold Dust Dracaena,Dracaena surculosa,false
Golden Birds Nest,Sansevieria trifasciata,false
Golden Pothos,Epipremnum aureum,false
Golden Ragwort,Senecio species,false
Good Luck Plant,Oxalis spp.,false
Grapefruit,Citrus paradisii,false
Grass Palm,Cordyline australis,false
Greater Ammi,Ammi majus,false
Green Gold Naphthysis,Syngonium podophyllum,false
Ground Apple,Anthemis nobilis,false
Groundsel,Senecio species,false
Hahn's Self Branching English Ivy,Hedera helix,false
Hashish,Cannabis sativa,false
Hawaiian Ti,Giant Dracaena,false
Heartleaf Philodendron,Philodendron hederaceum,false
Heavenly Bamboo,Nandina domestica,false
Hellebore,Helleborus niger,false
Hercules' Club,Aralia spinosa,false
Hills of Snow,Hydrangea arborescens,false
Holly,Ilex opaca,false
Horse Chestnut,Aesculus glabra,false
Horsehead Philodendron,Philodendron bipennifolium,false
Horseweed,Erigeron speciosus,false
Hortensia,Hydrangea arborescens,false
Hosta,Hosta plataginea,false
Hurricane Plant,Monstera deliciosa,false
Hyacinth,Hyacinthus orientalis,false
Hydrangea,Hydrangea arborescens,false
Impala Lily,Adenium obesum,false
Inch Plant,Tradescantia flumeninsis,false
Indian Apple,Podophyllum peltatum,false
Indian Borage,Coleus ampoinicus,false
Indian Hemp,Apocynum androsaemifolium,false
Indian Hemp,Cannabis sativa,false
Indian Pink,Lobelia cardinalis,false
Indian Rubber Plant,Ficus benjamina,false
Inkberry,Ilex opaca,false
Iris,Iris species,false
Iron Cross Begonia,Begonia masoniana,false
Ivy Arum,Epipremnum aureum,false
Jack-in-the-pulpit,Arisaema triphyllum,false
Jade Plant,Crassula argentea,false
Japanese Show Lily,Lilium speciosum,false
Japanese Yew,Taxus sp.,false
Jerusalem Cherry,Solanum pseudocapsicum,false
Jerusalem Oak,Ambrosia mexicana,false
Jonquil,Narcissus jonquilla,false
Kaffir Lily,Clivia minata,false
Kalanchoe,Kalanchoe spp,false
Kiss-me-quick,Brunfelsia species,false
Klamath Weed,Hypericum perforatum,false
Kudu Lily,Adenium obesum,false
Lace Fern,Asparagus densiflorus cv sprengeri,false
Lacy Tree Philodendron,Philodendron selloum,false
Lady-of-the-night,Brunfelsia species,false
Lambkill,Kalmia augustifolia,false
Lantana,Lantana camara,false
Larkspur,Delphinium species,false
Laurel,Kalmia latifolia,false
Lavender,Lavendula angustifolia,false
Leatherflower,Clematis sp.,false
Leek,Allium ampeloprasum,false
Lemon,Citrus limonia,false
Lemon Grass,Cymbopogon citratus,false
Lemon Verbena,Aloysia triphylla,false
Lenten Rose,Helleborus niger,false
Lily,Lilium species,false
Lily of the Palace,Hippeastrum spp.,false
Lily of the Valley,Convallaria majalis,false
Lily-of-the-Valley Bush,Pieris japonica,false
Lime,Citrus aurantifolia,false
Lobelia,Lobelia cardinalis,false
Locust,Robinia spp.,false
Lord-and-Ladies,Arum maculatum,false
Lovage,Levisticum officinale,false
Madagascar Dragon Tree,Dracaena marginata,false
Maidens Breath,Gypsophila elegans,false
Malanga,Colocasia esculenta,false
Maleberry,Lyonia sp.,false
Mapleleaf Begonia,Begonia cleopatra,false
Marble Queen,Scindapsus aureus,false
Marijuana,Cannabis sativa,false
Marjoram,Origanum majorana,false
Mauna Loa Peace Lily,Spathiphyllum,false
Mayapple,Podophyllum peltatum,false
Mayweed,Anthemis cotula,false
Meadow Saffron,Colchicum autumnale,false
Medicine Plant,| Family: Aloaceae
Metallic Leaf Begonia,Begonia metallica,false
Mexican Breadfruit,Monstera deliciosa,false
Milfoil,Achillea millefolium,false
Milkweed,Asclepias species,false
Mint,Mentha sp.,false
Mistletoe,Phoradendron flavescens,false
Mock Azalea,Adenium obesum,false
Mole Bean Plant,Ricinus communis,false
Morning Glory,Ipomoea spp,false
Morning-Noon-and-Night,Brunfelsia species,false
Moss Rose,Portulaca oleracea,false
Mother of Millions,Kalanchoe tubiflora,false
Mother-in-Law,Monstera deliciosa,false
Mother-In-Law Plant,Kalanchoe tubiflora,false
Mother-in-Law’s Tongue,Sansevieria trifasciata,false
Mum,Chrysanthemum spp.,false
Naked Lady,Amaryllis spp.,false
Nandina,Nandina domestica,false
Narcissus,Narcissus spp,false
Nasturtium,Nasturtium officinale,false
Needlepoint Ivy,Hedera helix,false
Nephthytis,Syngonium podophyllum,false
Nicotiana,Nicotiana glauca,false
Nightshade,Solanum spp,false
Octopus Tree,Schefflera or Brassia actinoplylla,false
Oilcloth Flower,Anthurium scherzeranum,false
Oleander,Nerium oleander,false
Onion,Allium cepa,false
Orange,Citrus sinensis,false
Orange Day Lily,Hemerocallis graminea,false
Oregano,Origanum vulgare hirtum,false
Oregon Holly,Ilex opaca,false
Ornamental Pepper,Solanum pseudocapsicum,false
Pacific Yew,Taxus brevifolia,false
Painter's Pallette,Anthurium scherzeranum,false
Palm Lily,Cordyline australis,false
Panda Plant,Philodendron bipennifolium,false
Paper White,Narcissus spp,false
Paraguayan Jasmine,Brunfelsia species,false
Parsley,Petroselinum crispum,false
Peace Begonia,Begonia rex,false
Peace Lily,Spathiphyllum,false
Peach,Prunus persica,false
Peacock Flower,Caesalpinia pulcherrima,false
Pencil Cactus,Euphorbia tirucalli,false
Peony,Paeonis officinalis,false
Perennial Pea,Lathyrus latifolius,false
Periwinkle,Vinca rosea,false
Philodendron Pertusum,Philodendron spp,false
Pie Plant,Rheum rhabarbarium,false
Pieris,Pieris japonica,false
Pig Lily,Zantedeschia aethiopica,false
Pigtail Plant,Anthurium scherzeranum,false
Pink Pearl,Begonia semperflorens cultivar,false
Pinks,Dianthus caryophyllus,false
Plantain Lily,Hosta plantaginea,false
Plum,Prunus domestica,false
Plumosa Fern,Asparagus densiflorus cv sprengeri,false
Poinciana,Caesalpinia gilliessi,false
Poinsettia,Euphorbia pulcherrima,false
Poison Daisy,Anthemis cotula,false
Poison Hemlock,Conium maculatum,false
Poison Parsnip,Cicuta maculata,false
Portulaca,Portulaca oleracea,false
Prayer Bean,Abrus precatorius,false
Pride-of-India,Melia azedarach,false
Primrose,Primula vulgaris,false
Privet,Ligustrum japonicum,false
Purslane,Portulaca oleracea,false
Racemose asparagus,Asparagus densiflorus cv sprengeri,false
Ragwort,Senecio species,false
Ranger's Button,Sphenosciadium capitellatum,false
Red Emerald,Philodendron bipennifolium,false
Red Lily,Lilium umbellatum,false
Red Princess,Philodendron bipennifolium,false
Red-Marginated Dracaena,Dracaena marginata,false
Rex Begonia,Begonia rex,false
Rhododendron,Rhododendron spp,false
Rhubarb,Rheum rhabarbarium,false
Ribbon Plant,Dracaena spp.,false
Ridderstjerne,Hippeastrum spp.,false
Rock Moss,Portulaca oleracea,false
Roman Chamomile,Anthemis nobilis,false
Rosebay,Rhododendron spp,false
Rubrum Lily,Lilium speciosum,false
Running Myrtle,Vinca rosea,false
Sabi Star,Adenium obesum,false
Sacred Bamboo,Nandina domestica,false
Saddle Leaf,Philodendron bipennifolium,false
Sago Palm,Cycas revoluta,false
Satin Pothos,Scindapsus pictus,false
Scented Geranium,Pelargonium sp.,false
Schefflera,Schefflera,false
Seaside Daisy,Erigeron speciosus,false
Seven Bark,Hydrangea arborescens,false
Shamrock Plant,Oxalis spp.,false
Shatavari,Asparagus densiflorus cv sprengeri,false
Showy Daisy,Erigeron speciosus,false
Silver Dollar,Crassula arborescens,false
Silver Jade Plant,Crassula arborescens,false
Skunk Cabbage,Symplocarpus foetidus,false
Snake Lilly,Iris species,false
Snake Plant,Sansevieria trifasciata,false
Solomon’s Lily,Arum palestinum,false
Sorrel,Rumex scutatus,false
Sowbread,Cyclamen spp,false
Spanish Thyme,Coleus ampoinicus,false
Spindle Tree,Euonymus atropurpurea,false
Split Leaf Philodendron,Philodendron bipennifolium,false
Spotted Dumb Cane,Dieffenbachia amoena,false
Sprengeri Fern,Asparagus densiflorus cv sprengeri,false
Spring Parsley,Cymopterus watsonii,false
St. John’s Wort,Hypericum perforatum,false
Staggerbush,Lyonia sp.,false
Starch Root,Arum maculatum,false
Stargazer Lily,Lilium orientalis,false
Starleaf,Brassaia actinophylla,false
Stinking Chamomile,Anthemis cotula,false
Straight-Margined Dracaena,Dracaena marginata,false
Striped Dracaena,Dracaena deremensis,false
Superb Lily,Gloriosa superba,false
Sweet Cherry,Prunus avium,false
Sweet Pea,Lathyrus latifolius,false
Sweet William,Dianthus caryophyllus,false
Sweetheart Ivy,Hedera helix,false
Swiss Cheese Plant,Monstera deliciosa,false
Tahitian Bridal Veil,tradescantia multiflora,false
Tail Flower,Anthurium scherzeranum,false
Taro,Caladium hortulanum,false
Taro,Colocasia esculenta,false
Taro Vine,Epipremnum aureum,false
Tarragon,Artemisia dracunculus,false
Texas Umbrella Tree,Melia azedarach,false
Ti-Plant,Cordyline terminalis,false
Tiger Lily,Lilium tigrinum,false
Tobacco,Nicotiana glauca,false
Tomato Plant,Lycopersicon spp,false
Tree Philodendron,Philodendron selloum,false
Tree Tobacco,Nicotiana glauca,false
Tropic Snow,Dieffenbachia amoena,false
True Aloe,Aloe barbadensis,false
Trumpet Lily,Zantedeschia aethiopica,false
Tulip,Tulipa spp.,false
Umbrella Leaf,Podophyllum peltatum,false
Umbrella Tree,Brassaia actinophylla,false
Variable Dieffenbachia,Dieffenbachia picta,false
Variegated Inch Plant,Tradescantia flumeninsis,false
Variegated Laurel,Tradescantia flumeninsis,false
Variegated Philodendron,Scindapsus,,false
Vinca,Vinca rosea,false
Virgin's Bower,Clematis sp.,false
Wahoo,Euonymus occidentalis,false
Wake Robin,Arum maculatum,false
Warneckei Dracaena,Dracaena deremensis,false
Water Flag,Iris species,false
Water Hemlock,Cicuta maculata,false
Wax-Leaf,Ligustrum japonicum,false
Weeping Fig,Ficus sp.,false
Western Yew,Taxus brevifolia,false
White Heads,Sphenosciadium capitellatum,false
Wild Arum,Arum palestinum,false
Wild Calla,Arum palestinum,false
Wild Carnation,Dianthus caryophyllus,false
Wild Coffee,Polyscias guilfoylei,false
Winter Cherry,Solanum pseudocapsicum,false
Winterberry,Ilex opaca,false
Wisteria,Wisteria spp.,false
Wood Lily,Lilium umbellatum,false
Yarrow,Achillea millefolium,false
Yellow Oleander,Thevetia peruviana,false
Yesterday,Brunfelsia species,false
Yew,Taxus spp.,false
Yew Pine,Podocarpus macrophylla,false
Yucca,Yucca spp.,false